Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
3243	3243	30368	3243	30368.dat	30368	Minifigure, Headgear Helmet SW Darth Vader - One Piece	o	59	6	30	False		False	5094	5097
-206	3243	30368	3243	524.dat		Minifigure, Headgear Helmet SW Darth Vader	o	0	0	0	False		True		
409	409	3037	409	3037.dat	3037	Slope 45 2 x 4	o	81	1	5	False		False	5006	5006
3284	3284	30371	3284	30371.dat		Minifigure, Head, Modified SW Gungan Split Eyes Plain	o	59	5	29	False		False	5094	5095
410	410	30372	410	30372.dat	30372	Windscreen 7 x 4 x 1 2/3 with Locking Dual 2 Fingers, 9 Teeth	o	112	-1	11	False		False	5062	
-1154	410	30372p79	411	30372ps0.dat		Windscreen 7 x 4 x 1 2/3 with SW Pattern	o	0	0	0	False		True		
411	410	30372p79	411	30372p79.dat		Windscreen 7 x 4 x 1 2/3 with Locking Dual 2 Fingers, 9 Teeth with SW Pattern	o	113	-1	11	False		True	5062	
126939	410	30372pb04	126939	30372pb04.dat		Windscreen 7 x 4 x 1 2/3 with Locking Dual 2 Fingers, 9 Teeth with SW Red Triangle Pattern	o	113	-1	11	False		True	5062	
175444	410	30372pb08	175444	30372pb08.dat		Windscreen 7 x 4 x 1 2/3 with Locking Dual 2 Fingers, 9 Teeth with Light Bluish Gray SW Snowspeeder Pattern	o	113	-1	11	False		True	5062	
412	412	30373	412	30373.dat	30373	Slope, Inverted 65 6 x 6 x 2 Quad with Cutouts	o	81	4	5	False		False	5006	5023
-217	1379	30374	1379	578.dat		Bar   4L (Lightsaber Blade / Wand)	o	0	0	0	False		True		
1379	1379	30374	1379	30374.dat	30374	Bar   4L (Lightsaber Blade / Wand)	o	6	-1	23	False		False	5019	5019
1051	1051	30375	1051	30375.dat	30375	Torso Mechanical, Battle Droid	o	59	1	28	False		False	5101	5105
107101	1051	30375pb01	107101	30375ps7.dat		Torso Mechanical, Battle Droid with Red Dot Pattern	o	59	1	28	False		True	5101	5105
123368	1051	30375pb02	123368	30375ps6.dat		Torso Mechanical, Battle Droid with Tan Insignia and Chest Badge Pattern	o	59	1	28	False		True	5101	5105
127077	1051	30375pb03	127077	30375ps4.dat		Torso Mechanical, Battle Droid with Orange Dot Pattern	o	59	1	28	False		True	5101	5105
2656	1051	30375ps1	2656	30375ps1.dat		Torso Mechanical, Battle Droid with Orange Rectangle Pattern	o	59	1	28	False		True	5101	5105
38002	1051	30375ps2	38002	30375ps2.dat		Torso Mechanical, Battle Droid with Tan Insignia Pattern	o	59	1	28	False		True	5101	5105
2655	1051	30375ps3	2655	30375ps3.dat		Torso Mechanical, Battle Droid with Blue Insignia Pattern	o	59	1	28	False		True	5101	5105
-1155	1051	30375ps4	91369	30375ps5.dat		Minifigure, Body Part Torso Mechanical, Battle Droid with Yellow Dot Insignia Pattern	o	0	0	0	False		True		
91369	1051	30375ps4	91369	30375ps4.dat		Torso Mechanical, Battle Droid with Yellow Dot Pattern	o	59	1	28	False		True	5101	5105
1890	1890	30376	1890	30376.dat	30376	Legs Mechanical, Battle Droid	o	59	14	28	false		False	5108	5114
-575	1890	30376	1890	55527.dat		Legs Mechanical, Battle Droid	o	0	0	0	False		True		
-721	1890	30376	1890	86025.dat		Legs Mechanical, Battle Droid	o	0	0	0	False		True		
-720	1851	30377	1851	86024.dat		Minifigure, Body Part Arm Mechanical, Battle Droid	o	0	0	0	False		True		
1851	1851	30377	1851	30377.dat	30377	Arm Mechanical, Battle Droid	o	59	1	28	False		False	5101	5105
-576	1851	30377	1851	55528.dat		Minifigure, Body Part Arm Mechanical, Battle Droid	o	0	0	0	False		True		
1192	1192	30378	1192	30378.dat	30378	Minifigure, Head, Modified Mechanical Plain (SW Battle Droid)	o	59	5	29	False		False	5094	5095
2653	1192	30378ps1	2653	30378ps1.dat		Minifigure, Head, Modified Mechanical (SW Battle Droid) with Orange Insignia Pattern	o	59	5	29	False		True	5094	5095
38001	1192	30378ps2	38001	30378ps2.dat		Minifigure, Head, Modified Mechanical (SW Battle Droid) with Dark Red Insignia Pattern	o	59	5	29	False		True	5094	5095
90810	1192	30378ps3	90810	30378ps3.dat		Minifigure, Head, Modified Mechanical (SW Battle Droid) with Yellow Insignia Pattern	o	59	5	29	False		True	5094	5095
